Fecha,Region,Categoria,Producto,Canal,Ventas,Unidades,Costo
2023-01-15,North America,Electronics,Laptop,Online,1500,1,1200
2023-01-20,Europe,Clothing,T-Shirt,Retail,500,20,200
2023-02-10,Asia,Electronics,Smartphone,Online,2400,3,1800
2023-02-25,North America,Home Goods,Lamp,Retail,120,5,80
2023-03-05,Oceania,Electronics,Tablet,Distributor,800,2,600
2023-03-12,South America,Clothing,Jeans,Online,450,10,250
2023-04-18,Europe,Home Goods,Chair,Retail,300,2,210
2023-05-22,Asia,Electronics,Laptop,Online,3000,2,2400
2023-06-30,North America,Electronics,Headphones,Retail,200,4,100
2023-07-15,Europe,Clothing,Jacket,Distributor,900,5,600
2023-08-05,Asia,Home Goods,Desk,Online,1200,2,900
2023-09-12,South America,Electronics,Smartphone,Retail,1600,2,1200
2023-10-20,Oceania,Clothing,Shoes,Online,700,4,400
2023-11-25,Europe,Electronics,Tablet,Retail,1200,3,950
2023-12-05,North America,Home Goods,Shelf,Distributor,500,5,350
